id;transaction_type;create_date;modified_date;quantity;comments;product_id
1;ON_HOLD;2022-03-13T15:08:41;2022-03-13T12:52:26;19842;Heard bypassing Solutions;1
2;ON_HOLD;2022-03-13T18:24:59;2022-03-13T15:13:32;82644;SMS;2
3;ON_HOLD;2022-03-13T15:33:20;2022-03-14T04:29:24;70115;Oro Clothing;3
4;PURCHASED;2022-03-13T17:40:18;2022-03-13T22:41:11;6762;Mississippi Checking throughput;4
5;ON_HOLD;2022-03-14T01:34:00;2022-03-13T18:40:09;2262;violet Mountains seize;5
6;SOLD;2022-03-13T17:51:32;2022-03-13T16:39:54;74598;neural Health clicks-and-mortar;6
7;WASTE;2022-03-14T07:09:48;2022-03-13T18:16:34;81864;SMS;7
8;SOLD;2022-03-13T23:07:21;2022-03-14T02:52:52;37206;hack Bike state;8
9;PURCHASED;2022-03-13T10:05:36;2022-03-13T22:32:53;3428;Creative;9
10;ON_HOLD;2022-03-14T02:03:52;2022-03-13T21:04:17;63556;Dynamic plum;10
