id;quantity;unit_cost;received_date;inventory_posted;product_id;purchase_order_id
1;69177;82987;2022-03-13T22:56:31;false;1;1
2;68394;93920;2022-03-13T21:34:11;true;2;2
3;54124;71889;2022-03-13T08:37:10;true;3;3
4;83533;62438;2022-03-13T23:44:50;true;4;4
5;91040;76016;2022-03-13T13:20:55;false;5;5
6;49370;14916;2022-03-13T11:06:59;false;6;6
7;5597;24410;2022-03-13T15:05:21;true;7;7
8;92012;49660;2022-03-13T22:26:56;true;8;8
9;85088;27975;2022-03-14T06:27:14;true;9;9
10;25483;54790;2022-03-13T09:43:02;false;10;10
