id;status;create_date;expected_date;payment_date;payment_method;payment_amount
1;NEW;2022-03-13T16:28:58;2022-03-13T10:43:38;2022-03-13T20:02:37;invoice Keyboard program;27821
2;APPROVED;2022-03-13T20:12:17;2022-03-13T19:15:17;2022-03-13T18:57:11;Handcrafted payment parsing;2258
3;SUBMITTED;2022-03-13T14:46:24;2022-03-14T05:13:58;2022-03-13T11:47:07;Account state;35524
4;CLOSED;2022-03-14T05:27:57;2022-03-13T09:50:14;2022-03-13T19:55:13;backing HTTP;80868
5;NEW;2022-03-13T13:02:59;2022-03-13T21:56:23;2022-03-13T17:04:49;back;89206
6;SUBMITTED;2022-03-13T22:51:51;2022-03-13T09:44:49;2022-03-13T23:40:38;tan Legacy tangible;63909
7;CLOSED;2022-03-14T07:42:42;2022-03-13T11:19:44;2022-03-13T12:06:43;bandwidth-monitored Direct;40755
8;CLOSED;2022-03-13T18:44:44;2022-03-13T12:46:56;2022-03-13T13:48:28;Berkshire alarm;25653
9;CLOSED;2022-03-14T04:13:53;2022-03-13T19:22:59;2022-03-13T22:50:14;Practical virtual Developer;44343
10;CLOSED;2022-03-14T04:20:28;2022-03-13T10:23:58;2022-03-13T19:26:19;bypass mobile;88363
