id;code;name;description;standard_cost;list_price;reorder_level;target_level;quantity_per_unit;dis_continued;minimum_reorder_quantity
1;Steel;Assistant;cross-platform Principal;35091;34790;81149;69097;16316;false;76146
2;reboot magenta THX;THX;Centers Metal navigating;57853;43291;9654;32061;94707;true;46442
3;transmitting New Bedfordshire;Malagasy intranet;neutral;4184;16473;23281;6446;78661;false;11502
4;CFP orange;Village;distributed indigo JSON;55869;61482;94655;20809;12092;false;54741
5;solutions;Prairie;invoice;96920;15521;22423;16073;14900;false;88935
6;Ball pixel;Account;Cheese Consultant online;80952;30021;79521;23086;82676;false;8650
7;Arizona mobile;AGP lavender;navigate brand up;56289;41021;62316;4460;6748;false;87985
8;Ergonomic;Handcrafted;relationships;78668;16025;2730;91979;31837;true;93272
9;Associate Chicken;Usability multi-byte;Kids IB;52857;55509;1215;96602;8838;false;25242
10;Taka;wireless Practical Solutions;International Square;59473;6366;44886;96359;37953;true;17748
